product_id,product_name,brand,category,concern,skin_type,key_ingredient,size,mrp,cost_price,stock_qty,launch_date
P0001,Clear Niacinamide Essence,Luma Leaf,Serums,Texture,Normal,Alpha Arbutin,50 ml,59.78,26.28,20,2022-06-26
P0002,Hydra Hyaluronic Elixir,Terra Dew,Moisturizers,Dehydration,Normal,Hyaluronic Acid,100 ml,23.13,11.93,1210,2022-01-29
P0003,Glow Titanium Repair,Juniper Lab,Sunscreens,Tinted SPF,All,Zinc Oxide,100 ml,42.70,20.70,2310,2023-01-12
P0004,Calm PHA Ritual,Pure Mesa,Toners,Texture,All,Rice Ferment,200 ml,35.96,17.01,620,2024-04-06
P0005,Velvet Salicylic Mist,Halo Harbor,Acne Treatments,Acne,Combination,Salicylic Acid,15 ml,46.73,19.05,599,2024-11-22
P0006,Renew Green Lotion,Velvet Aloe,Cleansers,Sensitive skin,Normal,Rice Water,200 ml,17.93,6.94,453,2022-12-11
P0007,Lunar Niacinamide Ritual,Terra Dew,Serums,Dark spots,Normal,Alpha Arbutin,30 ml,48.02,17.18,371,2025-08-27
P0008,Clear Copper Mist,DermaBloom,Serums,Dullness,Combination,Copper Peptides,50 ml,98.84,49.12,1074,2023-05-21
P0009,Cloud Vitamin Ritual,Pure Mesa,Eye Creams,Firming,All,Peptides,30 ml,22.23,10.61,970,2023-03-24
P0010,Clear Zinc Drops,Luma Leaf,Sunscreens,Daily SPF,All,Avobenzone,100 ml,43.08,18.43,189,2025-01-24
P0011,Pure Avobenzone Treatment,Pure Mesa,Sunscreens,Daily SPF,All,Titanium Dioxide,75 ml,45.35,15.47,803,2025-10-20
P0012,Dew Vitamin Lotion,Coast & Glow,Serums,Dark spots,All,Vitamin C,30 ml,27.27,10.38,232,2023-01-07
P0013,Hydra Vitamin Elixir,Sunlit Science,Serums,Dullness,Dry,Copper Peptides,30 ml,110.53,44.64,589,2023-06-04
P0014,Cloud Salicylic Elixir,Luma Leaf,Acne Treatments,Blemishes,Sensitive,Sulfur,50 ml,28.94,10.75,569,2025-07-05
P0015,Clear Vitamin Shield,Pure Mesa,Sunscreens,Blue light protection,Oily,Vitamin E,100 ml,44.14,23.49,2736,2023-08-23
P0016,Cloud Bakuchiol Mist,Velvet Aloe,Anti-Aging Products,Wrinkles,Sensitive,Bakuchiol,30 ml,109.33,55.52,910,2023-07-28
P0017,Cloud Niacinamide Elixir,Halo Harbor,Serums,Dullness,Combination,Copper Peptides,30 ml,55.67,27.36,705,2021-06-24
P0018,Glow Honey Veil,Juniper Lab,Face Masks,Hydration,Normal,Kaolin Clay,50 ml,46.38,25.43,570,2022-03-02
P0019,Dew Salicylic Treatment,Velvet Aloe,Cleansers,Sensitive skin,All,Green Tea,200 ml,25.69,11.82,1029,2023-08-25
P0020,Fresh Salicylic Elixir,Terra Dew,Acne Treatments,Redness,Combination,Benzoyl Peroxide,15 ml,48.43,25.39,2086,2023-01-21
P0021,Dew Copper Drops,Luma Leaf,Serums,Brightening,Dry,Alpha Arbutin,30 ml,93.98,40.26,782,2024-11-23
P0022,Radiant Rice Mist,Luma Leaf,Toners,Texture,Dry,PHA,150 ml,15.77,7.52,707,2021-05-12
P0023,Pure CoQ10 Veil,Halo Harbor,Anti-Aging Products,Elasticity,All,Peptides,30 ml,58.03,20.62,486,2022-05-02
P0024,Radiant Avobenzone Essence,Golden State Skin,Sunscreens,Tinted SPF,Dry,Niacinamide,75 ml,24.80,10.27,678,2023-12-12
P0025,Hydra Hyaluronic Drops,DermaBloom,Moisturizers,Dryness,Combination,Hyaluronic Acid,75 ml,41.44,15.63,896,2023-09-06
P0026,Hydra Benzoyl Essence,Coast & Glow,Acne Treatments,Clogged pores,Normal,Azelaic Acid,15 ml,39.87,16.03,903,2023-10-28
P0027,Dew Niacinamide Elixir,Sierra Skin Co,Sunscreens,UV protection,Normal,Titanium Dioxide,100 ml,43.75,22.68,2256,2022-07-03
P0028,Radiant Ceramides Ritual,Pacific Ritual,Cleansers,Sensitive skin,All,Salicylic Acid,200 ml,35.06,17.14,1049,2025-09-05
P0029,Renew Benzoyl Drops,Halo Harbor,Acne Treatments,Acne,All,Salicylic Acid,30 ml,26.81,14.70,883,2024-06-06
P0030,Clear Salicylic Veil,Sierra Skin Co,Cleansers,Daily cleansing,All,Ceramides,100 ml,12.73,4.78,862,2022-08-28
P0031,Lunar Witch Gel,Halo Harbor,Toners,Texture,Normal,Rice Ferment,200 ml,17.73,7.22,780,2025-11-17
P0032,Pure PHA Complex,Coast & Glow,Toners,Balancing,All,Rose Water,150 ml,28.54,10.49,1246,2023-04-02
P0033,Velvet Witch Drops,DermaBloom,Toners,Texture,All,Rice Ferment,200 ml,28.68,11.66,561,2023-08-26
P0034,Dew Centella Treatment,Pacific Ritual,Face Masks,Hydration,Combination,Oat Extract,75 ml,24.52,8.68,822,2021-06-06
P0035,Glow Azelaic Lotion,Coast & Glow,Acne Treatments,Acne,All,Benzoyl Peroxide,15 ml,24.37,9.54,765,2022-08-09
P0036,Dew Peptides Repair,Golden State Skin,Moisturizers,Dryness,Combination,Squalane,100 ml,46.72,24.74,701,2023-01-17
P0037,Radiant Copper Elixir,Luma Leaf,Serums,Texture,All,Hyaluronic Acid,30 ml,35.76,16.69,327,2025-04-18
P0038,Velvet Green Ritual,Juniper Lab,Cleansers,Daily cleansing,Combination,Green Tea,200 ml,19.26,6.68,2263,2023-02-02
P0039,Pure Rice Complex,Sunlit Science,Toners,Balancing,All,Rose Water,200 ml,40.53,16.67,20,2022-02-19
P0040,Clear Sulfur Lotion,Sunlit Science,Acne Treatments,Clogged pores,Oily,Benzoyl Peroxide,50 ml,48.33,18.95,354,2023-05-07
P0041,Clear Growth Drops,Velvet Aloe,Anti-Aging Products,Fine lines,Combination,Bakuchiol,30 ml,95.86,36.54,619,2023-11-27
P0042,Dew Peptides Essence,Pure Mesa,Eye Creams,Dark circles,Sensitive,Vitamin K,15 ml,80.24,43.59,658,2024-12-23
P0043,Hydra Niacinamide Mist,Luma Leaf,Serums,Dullness,Combination,Hyaluronic Acid,30 ml,31.10,13.26,232,2023-09-15
